,model,train_score,test_score,cv_scores,cv_score
0,lr-Original Combined Text,0.986375,0.847,[0.83989501 0.83914511 0.85033758],0.843125901460367
1,lr-Lemmatized Tokenized Text,0.9825,0.8535,[0.84289464 0.83652043 0.85183796],0.8437510108685777
2,lr-Stemmatized Tokenized Text,0.977125,0.8485,[0.83989501 0.8440195  0.84883721],0.8442505733294965
3,mnb-Original Combined Text,0.8805,0.825,[0.83652043 0.82602175 0.82258065],0.8283742757961706
4,mnb-Lemmatized Tokenized Text,0.875625,0.8275,[0.83464567 0.82114736 0.82183046],0.8258744944953899
5,mnb-Stemmatized Tokenized Text,0.86725,0.8175,[0.83502062 0.82789651 0.82145536],0.8281241663996802
6,knn-Original Combined Text,0.750375,0.661,[0.65016873 0.64904387 0.65453863],0.6512504110279539
7,knn-Lemmatized Tokenized Text,0.761875,0.662,[0.66404199 0.65954256 0.67404351],0.6658760209362428
8,knn-Stemmatized Tokenized Text,0.763375,0.6675,[0.67491564 0.67004124 0.68567142],0.676876099414805
9,rf-Original Combined Text,0.999125,0.8425,[0.85189351 0.83089614 0.85633908],0.8463762453549272
10,rf-Lemmatized Tokenized Text,0.999,0.839,[0.84814398 0.83502062 0.8552138 ],0.8461261359584366
11,rf-Stemmatized Tokenized Text,0.998875,0.833,[0.84739408 0.83577053 0.84996249],0.8443756983490341
12,bagging-Original Combined Text,0.985875,0.8165,[0.81777278 0.81177353 0.83045761],0.8200013070384206
13,bagging-Lemmatized Tokenized Text,0.984,0.813,[0.82189726 0.81252343 0.83045761],0.8216261039388081
14,bagging-Stemmatized Tokenized Text,0.98675,0.829,[0.82864642 0.82264717 0.82333083],0.8248748070032131
15,gb-Original Combined Text,0.846375,0.8325,[0.82902137 0.81402325 0.83383346],0.8256260259290543
16,gb-Lemmatized Tokenized Text,0.849625,0.8335,[0.83352081 0.82377203 0.83533383],0.8308755572845218
17,gb-Stemmatized Tokenized Text,0.85325,0.83,[0.83427072 0.82527184 0.8372093 ],0.8322506198353113
18,adaboost-Original Combined Text,0.82325,0.8045,[0.79490064 0.81664792 0.81770443],0.8097509941789909
19,adaboost-Lemmatized Tokenized Text,0.8275,0.8025,[0.80502437 0.81289839 0.81882971],0.8122508223606332
20,adaboost-Stemmatized Tokenized Text,0.831375,0.8175,[0.81402325 0.81364829 0.81807952],0.8152503536457791
21,svc-Original Combined Text,0.92,0.8515,[0.84326959 0.8440195  0.85821455],0.8485012141674338
22,svc-Lemmatized Tokenized Text,0.918,0.8525,[0.84326959 0.84889389 0.85483871],0.8490007297474912
23,svc-Stemmatized Tokenized Text,0.9165,0.8555,[0.84739408 0.85339333 0.8555889 ],0.8521254329330364
